[2020-10-22 16:40:43,495][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,495][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,500][Thread-7:140191976212224][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:43,559][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41598]
[2020-10-22 16:40:43,607][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,607][Thread-7:140191976212224][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,607][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,608][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:43,618][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:43,671][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/favicon-1.ico HTTP/1.1" 200 1500]
[2020-10-22 16:40:46,134][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/django_apscheduler/djangojob/ HTTP/1.1" 200 41598]
[2020-10-22 16:40:46,259][Thread-6:140191984867072][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:46,261][Thread-2:140192318686976][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/actions.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:46,262][Thread-5:140191993259776][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:46,262][Thread-7:140191976212224][task_id:django.server][basehttp.py:154][INFO]["GET /static/admin/js/prepopulate.min.js HTTP/1.1" 200 1500]
[2020-10-22 16:40:46,267][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /admin/jsi18n/ HTTP/1.1" 200 7684]
[2020-10-22 16:40:46,333][Thread-3:140192327079680][task_id:django.server][basehttp.py:154][INFO]["GET /static/favicon-1.ico HTTP/1.1" 200 1500]
